,0,1,2,3,4,5,6,7,8,9,10,11,date
48,西安世园投资(集团)有限公司,XIANGR 4.5 07/01/25,-,4.5,-,71.00 百万,2022-08-01,--,--,--,城投债,104243,2025/07/01
49,湖州市南浔区交通投资集团有限公司,NXDTIN 5 08/01/25,-,5,-,490.00 百万,2022-08-01,用于项目建设和补充运营资本,--,--,城投债,104245,2025/08/01
50,象山县滨海投资有限公司,XSBHIN 2.6 08/01/25,-,2.6,-,72.00 百万,2022-08-01,运营资本、项目融资,--,--,城投债,104178,2025/08/01
51,青岛市即墨区城市开发投资有限公司,JMUDIV 4.9 07/29/25,-,4.9,-,261.00 百万,2022-07-29,用于项目建设、补充运营资本和偿还离岸债务,--,--,城投债,104232,2025/07/29
52,深圳市卓越商业管理有限公司,EXCECP 4.3 07/29/25,-,4.3,-,100.00 百万,2022-07-29,根据绿色和可持续融资框架，对公司现有的离岸债务进行再融资,--,--,地产债,104236,2025/07/29
53,中国银行股份有限公司,BCHINA 3.25 03/04/25,-,3.25,-,13.53 百万,2022-07-28,--,--,--,金融债,104229,2025/03/04
54,中国银行股份有限公司,BCHINA 3.6 03/04/25,-,3.6,-,2.00 百万,2022-07-28,--,--,--,金融债,104235,2025/03/04
55,杭州上城区城市建设投资集团有限公司,ZJBOXV 3.99 07/27/23,-,3.99,-,300.00 百万,2022-07-28,用于项目建设和补充运营资本,--,--,城投债,104238,2023/07/27
56,扬州市江都沿江开发有限公司,YZJNDU 5.2 07/27/23,-,5.2,-,40.00 百万,2022-07-28,一般业务用途,--,--,城投债,104241,2023/07/27
57,广州开发区投资集团有限公司,GETDZS 4.5 07/28/25,98.014,4.5,5.238,400.00 百万,2022-07-28,债券的净收益将用于集团合格项目的融资，包括集团可持续融资框架中定义的“合格绿色项目”和“合格社会项目”，以及相关的营运资金用途,--,--,城投债,104179,2025/07/28
58,中国长江三峡集团有限公司,YANTZE 3.625 07/28/25,99.682,3.625,3.739,300.00 百万,2022-07-28,为现有债务进行再融资和一般公司用途,2025/6/28,2025/6/28,产业债,104180,2025/07/28
59,国家开发银行,SDBC 3.3 07/28/25,-,3.3,-,100.00 百万,2022-07-28,--,--,--,金融债,104181,2025/07/28
60,蓬莱阁(烟台市蓬莱区)旅游有限责任公司,PENLAC 5.5 07/27/25,-,5.5,-,57.00 百万,2022-07-27,用于项目建设和补充运营资金,--,--,城投债,104226,2025/07/27
61,蓬莱阁(烟台市蓬莱区)旅游有限责任公司,PENLAC 5.3 07/27/25,-,5.3,-,63.00 百万,2022-07-27,运营资本,--,--,城投债,104228,2025/07/27
62,漳州市九龙江集团有限公司,BCHINA 4.4 07/27/25,-,4.4,-,7.44 百万,2022-07-27,--,--,--,城投债,104233,2025/07/27
63,平安不动产资本有限公司,BCHINA 3.45 07/29/26,-,3.45,-,3.00 百万,2022-07-27,--,--,--,金融债,104234,2026/07/29
64,创兴银行有限公司,CHOHIN 4.9 07/27/32,-,4.9,-,224.00 百万,2022-07-27,巴塞尔协议III 2级资本,2027/7/27,2027/7/27,金融债,104246,2032/07/27
65,重庆盈地实业(集团)有限公司,CQYDIN 2.5 06/27/25,-,2.5,-,27.00 百万,2022-07-27,一般业务用途、运营资本,--,--,城投债,104097,2025/06/27
66,联想集团有限公司,LENOVO 5.831 01/27/28,99.188,5.831,6.007,625.00 百万,2022-07-27,票据收益根据要约备忘录中规定的条款，购买2022年7月18日的要约备忘录中的若干证券,2027/12/27,2027/12/27,产业债,104099,2028/01/27
67,联想集团有限公司,LENOVO 6.536 07/27/32,98.170,6.536,6.791,625.00 百万,2022-07-27,票据收益根据绿色融资框架，净收益的等额全部或部分用于发行人的一个或多个合格的新或现有项目(如绿色建筑和可再生能源项目)的融资或再融资,2032/4/27,2032/4/27,产业债,104100,2032/07/27
68,联想集团有限公司,LENOVO 5.831 01/27/28,99.188,5.831,6.007,625.00 百万,2022-07-27,票据收益根据要约备忘录中规定的条款，购买2022年7月18日的要约备忘录中的若干证券,2027/12/27,2027/12/27,产业债,104101,2028/01/27
69,联想集团有限公司,LENOVO 6.536 07/27/32,98.170,6.536,6.791,625.00 百万,2022-07-27,票据收益根据绿色融资框架，净收益的等额全部或部分用于发行人的一个或多个合格的新或现有项目(如绿色建筑和可再生能源项目)的融资或再融资,2032/4/27,2032/4/27,产业债,104102,2032/07/27
70,漳州市九龙江集团有限公司,ZHAPIE 4.7 07/27/25,99.675,4.7,4.819,500.00 百万,2022-07-27,根据国家发改委证书和可持续金融框架对未偿离岸债务进行再融资,--,--,城投债,104103,2025/07/27
71,绍兴市城市建设投资集团有限公司,SXUCI 3.3 07/27/25,-,3.3,-,500.00 百万,2022-07-27,一般业务用途,--,--,城投债,104117,2025/07/27
72,中国银行(香港)有限公司,BCHINA 5.9 09/14/23,-,5.9,-,2.20 百万,2022-07-26,--,--,--,金融债,104105,2023/09/14
73,中国银行股份有限公司,BCHINA 3.6 03/04/25,-,3.6,-,2.20 百万,2022-07-26,--,--,--,金融债,104106,2025/03/04
74,香港铁路有限公司,MTRC 3.11 07/25/25,-,3.11,-,250.00 百万,2022-07-25,--,--,--,产业债,104088,2025/07/25
75,交通银行股份有限公司,BCHINA 3.8 11/18/25,-,3.8,-,2.20 百万,2022-07-25,--,--,--,金融债,104095,2025/11/18
76,台湾积体电路制造股份有限公司,TAISEM 4.625 07/22/32,-,4.625,-,600.00 百万,2022-07-22,一般业务用途,2032/4/22,2032/4/22,产业债,104255,2032/07/22
77,台湾积体电路制造股份有限公司,TAISEM 4.375 07/22/27,-,4.375,-,400.00 百万,2022-07-22,一般企业用途,2027/6/22,2027/6/22,产业债,104257,2027/07/22
78,台湾积体电路制造股份有限公司,TAISEM 4.625 07/22/32,-,4.625,-,600.00 百万,2022-07-22,一般业务用途,2032/4/22,2032/4/22,产业债,104258,2032/07/22
79,台湾积体电路制造股份有限公司,TAISEM 4.375 07/22/27,-,4.375,-,400.00 百万,2022-07-22,一般企业用途,2027/6/22,2027/6/22,产业债,104259,2027/07/22
80,中国进出口银行,EXIMCH 3 07/22/24,99.230,3,3.418,100.00 百万,2022-07-22,--,--,--,金融债,104080,2024/07/22
81,绍兴市上虞城市建设集团有限公司,SHYUCD 3.9 07/22/25,-,3.9,-,1100.00 百万,2022-07-22,运营资本、项目融资,--,--,城投债,104081,2025/07/22
82,中国银行股份有限公司,BCHINA 3.45 03/04/25,-,3.45,-,67.80 百万,2022-07-22,--,--,--,金融债,104082,2025/03/04
83,中国建设银行股份有限公司,BCHINA 3.76 02/27/24,-,3.76,-,44.07 百万,2022-07-22,--,--,--,金融债,104083,2024/02/27
84,江苏世纪新城投资控股集团有限公司,YCCNCC 6.5 07/21/23,-,6.5,-,115.00 百万,2022-07-22,为现有债务再融资和一般企业用途,--,--,城投债,104089,2023/07/21
85,平安不动产资本有限公司,BCHINA 3.45 07/29/26,-,3.45,-,2.00 百万,2022-07-22,--,--,--,金融债,104092,2026/07/29
86,泰兴市智光环保科技有限公司,ZGENV 2 07/21/23,-,2,-,50.00 百万,2022-07-22,--,--,--,产业债,104093,2023/07/21
87,平安不动产资本有限公司,BCHINA 3.45 07/29/26,-,3.45,-,2.00 百万,2022-07-22,--,--,--,金融债,104094,2026/07/29
88,南山集团有限公司,NNSHAN 5.5 06/19/23,-,5.5,-,94.70 百万,2022-07-22,一般业务用途、运营资本,--,--,产业债,104104,2023/06/19
89,大连德泰控股有限公司,DLDETA 5 07/21/25,-,5,-,30.00 百万,2022-07-21,--,--,--,城投债,104078,2025/07/21
90,香港铁路有限公司,MTRC 3.05 07/21/25,-,3.05,-,251.00 百万,2022-07-21,--,--,--,产业债,104079,2025/07/21
91,汇景控股有限公司,HUIJHK 12.5 07/20/23,97.500,12.5,15.523,107.60 百万,2022-07-21,--,--,--,地产债,104087,2023/07/20
92,都江堰岷江水务集团有限公司,DJYXSW 5 07/21/25,-,5,-,60.00 百万,2022-07-21,一般业务用途、运营资本,--,--,城投债,104091,2025/07/21
93,福建漳龙集团有限公司,ZHANLO 4.8 06/20/25,98.921,4.8,5.215,500.00 百万,2022-07-20,根据公司的绿色金融框架，为合格项目提供融资或再融资,--,--,城投债,104074,2025/06/20
94,国家开发银行,SDBC 2.85 07/19/24,-,2.85,-,3500.00 百万,2022-07-19,用作运营资本和一般企业用途,--,--,金融债,104064,2024/07/19
95,国家开发银行,SDBC 2.95 07/19/27,-,2.95,-,2500.00 百万,2022-07-19,用作运营资本和一般企业用途,--,--,金融债,104065,2027/07/19
96,中国建设银行股份有限公司,BCHINA 2.78 01/21/27,-,2.78,-,53.95 百万,2022-07-19,--,--,--,金融债,104075,2027/01/21
97,中国进出口银行,EXIMCH 3 07/18/24,99.236,3,3.417,100.00 百万,2022-07-18,--,--,--,金融债,104050,2024/07/18
98,上坤地产集团有限公司,SUNKWP 12.25 07/17/23,-,12.25,-,222.36 百万,2022-07-18,--,--,--,地产债,104084,2023/07/17
99,中国进出口银行,EXIMCH 2.875 07/15/24,99.013,2.875,3.416,100.00 百万,2022-07-15,--,--,--,金融债,104041,2024/07/15
100,淮安市交通控股集团有限公司,HACOMM 5.5 07/15/25,-,5.5,-,300.00 百万,2022-07-15,现有离岸债务再融资,--,--,城投债,104043,2025/07/15
101,济南市中财金投资集团有限公司,JNSZFI 5.1 07/14/23,-,5.1,-,100.00 百万,2022-07-15,用于一般公司用途,--,--,城投债,104048,2023/07/14
102,高邮市建设投资发展集团有限公司,GYCONS 4.3 07/15/25,-,4.3,-,46.00 百万,2022-07-15,用于项目建设和补充运营资本,--,--,城投债,104066,2025/07/15
103,中国银行股份有限公司,BCHINA 3.25 07/11/23,-,3.25,-,20.00 百万,2022-07-15,--,--,--,金融债,104067,2023/07/11
104,中国银行股份有限公司,BCHINA 2.85 01/25/25,-,2.85,-,1.50 百万,2022-07-15,--,--,--,金融债,104068,2025/01/25
105,中国银行股份有限公司,BCHINA 3.25 07/11/23,-,3.25,-,20.00 百万,2022-07-15,--,--,--,金融债,104069,2023/07/11
106,中国银行股份有限公司,BCHINA 3.25 07/11/23,-,3.25,-,20.00 百万,2022-07-15,--,--,--,金融债,104070,2023/07/11
107,宝龙地产控股有限公司,PWRLNG 4 07/14/23,16.882,4,360.340,169.77 百万,2022-07-15,--,2022/7/14,2022/7/14,地产债,104076,2023/07/14
108,宝龙地产控股有限公司,PWRLNG 7.125 01/15/24,12.281,7.125,257.727,262.74 百万,2022-07-15,--,2022/7/14,2022/7/14,地产债,104077,2024/01/15
109,北京燃气蓝天控股有限公司,BGBSP 4 07/14/23,-,4,-,30.00 百万,2022-07-15,--,--,--,产业债,104090,2023/07/14
110,上海浦东发展银行股份有限公司,SHANPU 3.25 07/14/25,99.001,3.25,3.616,400.00 百万,2022-07-14,根据浦发银行的绿色融资框架，发行债券的净收益等额将用于为合格的绿色资产或项目的融资和/或再融资,--,--,金融债,104042,2025/07/14
111,中国银行股份有限公司,BCHINA 3.25 07/07/23,-,3.25,-,20.00 百万,2022-07-14,--,--,--,金融债,104051,2023/07/07
112,中国银行股份有限公司,BCHINA 3.25 07/07/23,-,3.25,-,20.00 百万,2022-07-14,--,--,--,金融债,104052,2023/07/07
113,移卡有限公司,YEAHKA 6.25 07/13/27,-,6.25,-,70.00 百万,2022-07-13,--,2024/7/13、2025/7/13,2024/7/13,产业债,104027,2027/07/13
114,济南济北新城供应链服务有限公司,JINANJ 1.9 06/12/23,-,1.9,-,40.00 百万,2022-07-13,用于该公司的贸易业务发展及偿还其有息债务,--,--,城投债,104030,2023/06/12
115,新疆中泰(集团)有限责任公司,XJZHTA 4 07/13/25,-,4,-,760.00 百万,2022-07-13,--,--,--,城投债,104035,2025/07/13
116,南京江北新区产业投资集团有限公司,IDINOS 4.4 07/11/23,99.903,4.4,4.508,270.00 百万,2022-07-12,离岸债务再融资和一般公司用途,--,--,城投债,104016,2023/07/11
117,广西交通投资集团有限公司,GXCMIN 3.95 07/12/25,98.747,3.95,4.416,300.00 百万,2022-07-12,为发行人于2022年9月到期的离岸债券再融资,--,--,城投债,104026,2025/07/12
118,西安市灞桥投资控股集团有限公司,XIBAIN 4.1 05/12/25,99.623,4.1,4.238,58.00 百万,2022-07-12,补充营运资本,--,--,城投债,104031,2025/05/12
119,中国进出口银行,EXIMCH 2.875 07/12/24,99.019,2.875,3.416,100.00 百万,2022-07-12,--,--,--,金融债,104038,2024/07/12
120,陕西金融资产管理股份有限公司,BCHINA 3.2 03/18/24,-,3.2,-,6.00 百万,2022-07-12,--,--,--,金融债,104045,2024/03/18
121,武汉地铁集团有限公司,BCHINA 2.96 09/24/24,-,2.96,-,6.00 百万,2022-07-12,--,--,--,城投债,104046,2024/09/24
122,江苏中南建设集团股份有限公司,JIAZHO 12 06/05/23,-,12,-,26.48 百万,2022-07-12,--,2023/6/5,2023/6/5,地产债,104049,2023/06/05
123,开山集团股份有限公司,KGIINT 1 07/08/25,-,1,-,15.00 百万,2022-07-12,--,--,--,产业债,104053,2025/07/08
124,广州富力地产股份有限公司,GZRFPR 7.5 07/11/25,21.108,7.5,80.589,1292.39 百万,2022-07-11,--,2022/7/11,2022/7/11,地产债,104071,2025/07/11
125,广州富力地产股份有限公司,GZRFPR 7.5 07/11/27,17.446,7.5,75.834,2203.66 百万,2022-07-11,--,2022/7/11,2022/7/11,地产债,104072,2027/07/11
126,广州富力地产股份有限公司,GZRFPR 7.5 07/11/28,10.837,7.5,89.983,1605.82 百万,2022-07-11,--,2022/7/11,2022/7/11,地产债,104073,2028/07/11
127,香港中华煤气有限公司,HKCGAS 4.1 07/08/32,-,4.1,-,350.00 百万,2022-07-08,资本支出、一般公司用途和再融资,--,--,产业债,103996,2032/07/08
128,香港铁路有限公司,MTRC 3.45 07/08/25,-,3.45,-,750.00 百万,2022-07-08,--,--,--,产业债,103997,2025/07/08
129,青岛城市建设投资(集团)有限责任公司,HKIQCL 4.8 07/08/25,97.674,4.8,5.687,750.00 百万,2022-07-08,为现有一年内到期离岸债务再融资,--,--,城投债,104012,2025/07/08
130,东亚银行有限公司,BNKEA 5.125 07/07/28,99.033,5.125,5.351,250.00 百万,2022-07-07,一般公司用途,2027/7/7,2027/7/7,金融债,104011,2028/07/07
131,中国建设银行股份有限公司,BCHINA 2.45 06/24/25,-,2.45,-,1.00 百万,2022-07-07,--,--,--,金融债,104017,2025/06/24
132,中国工商银行股份有限公司,BCHINA 3.51 09/23/25,-,3.51,-,13.40 百万,2022-07-07,--,--,--,金融债,104018,2025/09/23
133,中国银行股份有限公司,BCHINA 2.8 11/04/23,-,2.8,-,2.10 百万,2022-07-07,--,--,--,金融债,104022,2023/11/04
134,交通银行股份有限公司,BCHINA 3.73 11/18/25,-,3.73,-,20.10 百万,2022-07-07,--,--,--,金融债,104023,2025/11/18
135,交通银行股份有限公司,BCHINA 3.88 11/18/25,-,3.88,-,13.39 百万,2022-07-07,--,--,--,金融债,104033,2025/11/18
136,中国工商银行股份有限公司,BCHINA 3.65 09/23/25,-,3.65,-,20.08 百万,2022-07-07,--,--,--,金融债,104034,2025/09/23
137,中信证券国际有限公司,CSILTD 18.24 10/12/22,-,18.24,-,3.50 百万,2022-07-06,--,--,--,金融债,103990,2022/10/12
138,德清县文化旅游发展集团有限公司,DQWHLV 5.37 07/06/25,-,5.37,-,195.00 百万,2022-07-06,用于项目融资和一般公司用途,--,--,城投债,104008,2025/07/06
139,中国中铁股份有限公司,CHRAIL 4 07/06/27,100.003,4,3.998,500.00 百万,2022-07-06,为集团的离岸现有债务进行再融资和一般公司用途,--,--,产业债,104010,2027/07/06
140,成都经开产业投资集团有限公司,CDECTH 5.5 07/06/25,100.250,5.5,5.402,200.00 百万,2022-07-06,现有离岸债务再融资,--,--,城投债,104013,2025/07/06
141,中国国际金融(国际)有限公司,CICCHK 0.8 08/05/22,-,0.8,-,2.00 百万,2022-07-06,--,--,--,金融债,104014,2022/08/05
142,三花控股集团有限公司,KGIINT 1 07/25/23,-,1,-,20.00 百万,2022-07-06,--,--,--,金融债,104019,2023/07/25
143,中国农业银行股份有限公司,AGRBK 3.3 07/05/23,-,3.3,-,100.00 百万,2022-07-06,--,--,--,金融债,104167,2023/07/05
144,恒基兆业地产有限公司,HENLND 3.7 07/05/24,-,3.7,-,500.00 百万,2022-07-05,--,--,--,地产债,103994,2024/07/05
145,内江投资控股集团有限公司,NEJAIN 5 06/05/25,-,5,-,30.00 百万,2022-07-05,对本公司现有的于一年内到期的中长期离岸债务进行再融资,--,--,城投债,104009,2025/06/05
146,交通银行(香港)有限公司,BCHINA 3.58 03/03/25,-,3.58,-,6.68 百万,2022-07-05,--,--,--,金融债,104015,2025/03/03
147,中国银行股份有限公司,BCHINA 3.1 07/03/23,-,3.1,-,50.00 百万,2022-07-05,--,--,--,金融债,104169,2023/07/03
148,中国银行股份有限公司,BCHINA 3.3 07/03/23,-,3.3,-,100.00 百万,2022-07-05,--,--,--,金融债,104172,2023/07/03
149,仁寿兴新工业投资有限公司,RENSXI 2.7 06/30/25,-,2.7,-,48.00 百万,2022-06-30,运营资本,--,--,城投债,103988,2025/06/30
150,成都天府大港集团有限公司,CDTFDG 5 06/30/25,-,5,-,29.50 百万,2022-06-30,运营资本，项目融资,--,--,城投债,104006,2025/06/30
151,成都天府大港集团有限公司,CDTFDG 5 06/30/25,-,5,-,22.00 百万,2022-06-30,运营资本，项目融资,--,--,城投债,104007,2025/06/30
152,中国银行股份有限公司,BCHINA 3.35 06/29/23,-,3.35,-,50.00 百万,2022-06-30,--,--,--,金融债,104186,2023/06/29
153,工银国际租赁财务有限公司,ICBCIL Float 06/28/23,-,O/N SOFR +83,-,80.00 百万,2022-06-29,--,--,--,金融债,103986,2023/06/28
154,工银国际租赁财务有限公司,ICBCIL Float 06/28/23,-,O/N SOFR +83,-,220.00 百万,2022-06-29,--,--,--,金融债,103987,2023/06/28
155,遵义道桥建设(集团)有限公司,ZYRDBG 7.2 06/29/25,-,7.2,-,58.60 百万,2022-06-29,项目融资,--,--,城投债,103992,2025/06/29
156,国银金融租赁股份有限公司,CSILTD 0 06/27/25,-,0,-,45.00 百万,2022-06-29,--,--,--,金融债,103999,2025/06/27
157,中国建设银行股份有限公司,CSILTD 0 06/27/25,-,0,-,45.00 百万,2022-06-29,--,--,--,金融债,104000,2025/06/27
158,交通银行股份有限公司,CSILTD 0 06/27/25,-,0,-,45.00 百万,2022-06-29,--,--,--,金融债,104001,2025/06/27
159,中信证券国际有限公司,CSILTD 0 06/27/25,-,0,-,45.00 百万,2022-06-29,--,--,--,金融债,104002,2025/06/27
160,中国工商银行股份有限公司,BCHINA 3.58 09/23/25,-,3.58,-,33.47 百万,2022-06-29,--,--,--,金融债,104003,2025/09/23
161,中国工商银行股份有限公司,ICBCAS 2.85 06/28/23,-,2.85,-,1000.00 百万,2022-06-29,--,--,--,金融债,104152,2023/06/28
162,中国建设银行股份有限公司,CCB 2.8 06/28/23,-,2.8,-,1000.00 百万,2022-06-29,--,--,--,金融债,104175,2023/06/28
163,南山集团有限公司,NNSHAN 7 06/27/23,-,7,-,21.25 百万,2022-06-28,一般业务用途、运营资本,--,--,产业债,104230,2023/06/27
164,国家开发银行,SDBC Float 06/30/25,-,3mL+20,-,100.00 百万,2022-06-28,--,--,--,金融债,103983,2025/06/30
165,常德市经济建设投资集团有限公司,CHAECO 6.3 06/28/25,100.250,6.3,6.198,300.00 百万,2022-06-28,为集团的2022年8月到期的中长期离岸债务进行再融资,--,--,城投债,103989,2025/06/28
166,中国工商银行股份有限公司,BCHINA 3.15 09/24/26,-,3.15,-,8.05 百万,2022-06-28,--,--,--,金融债,103995,2026/09/24
167,南山集团有限公司,NNSHAN 7 06/27/23,-,7,-,103.75 百万,2022-06-28,运营资本,--,--,产业债,103998,2023/06/27
168,交通银行股份有限公司,BOCOM 3.3 06/27/23,-,3.3,-,50.00 百万,2022-06-28,--,--,--,金融债,104115,2023/06/27
